,Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
301,000500,KR7000500009,가온전선,KOSPI,,48500,2,-2200,-4.34,50900,51000,48500,97050,4762629825,802341077500,16543115,STK
302,004800,KR7004800009,효성,KOSPI,,47900,2,-750,-1.54,48750,48750,47250,37754,1799442225,801865495300,16740407,STK
303,079160,KR7079160008,CJ CGV,KOSPI,,4820,2,-5,-0.1,4810,4845,4800,244840,1180031670,798096872480,165580264,STK
304,085620,KR7085620003,미래에셋생명,KOSPI,,4495,2,-15,-0.33,4515,4525,4490,12653,57028840,795687769555,177016189,STK
305,192400,KR7192400000,쿠쿠홀딩스,KOSPI,,22100,3,0,0.0,22100,22300,21900,6603,146133350,785924288500,35562185,STK
306,484870,KR7484870001,엠앤씨솔루션,KOSPI,,85000,1,4500,5.59,77000,86600,76700,195142,16265181900,778081500000,9153900,STK
307,017960,KR7017960006,한국카본,KOSPI,,14950,1,130,0.88,14530,15120,14510,676881,10045505855,776031357400,51908452,STK
308,006120,KR7006120000,SK디스커버리,KOSPI,,41000,1,850,2.12,39850,41000,39750,38280,1547585200,770220055000,18785855,STK
309,101490,KR7101490001,에스앤에스텍,KOSDAQ,우량기업부,35650,1,250,0.71,35250,36600,34900,167667,5999030200,764744085550,21451447,KSQ
310,281820,KR7281820001,케이씨텍,KOSPI,,36750,2,-1100,-2.91,38000,38400,36600,89713,3351917000,760369370250,20690323,STK
311,056190,KR7056190002,에스에프에이,KOSDAQ GLOBAL,우량기업부,20950,1,500,2.44,20550,20950,20450,121510,2524386400,752288522000,35908760,KSQ
312,268280,KR7268280005,미원에스씨,KOSPI,,149700,2,-400,-0.27,148300,149900,148300,245,36550000,748500000000,5000000,STK
313,214320,KR7214320004,이노션,KOSPI,,18630,2,-120,-0.64,18720,18790,18630,413756,7332362175,745200000000,40000000,STK
314,033500,KR7033500000,동성화인텍,KOSDAQ,우량기업부,24800,1,1150,4.86,23050,24800,23050,659689,15975699300,743739451200,29989494,KSQ
